X,Y,OBJECTID,Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude
171801.476036904,7664217.45609406,5863,11087,CHEMAKUDO PRY,Masvingo,Primary,Mwenezi,P3,-21.09376,29.8413
341541.469996564,7651424.44603924,5864,11088,CHEMHARA,Masvingo,Primary,Mwenezi,P3,-21.23188,31.47308
270024.921418783,7671099.39249922,5865,11089,CHEGUMBIRO PRY,Masvingo,Primary,Mwenezi,P3,-21.0466,30.78691
264656.415777331,7666944.70358581,5866,11090,CHATAGWI,Masvingo,Primary,Mwenezi,P3,-21.08343,30.73471
312122.353986286,7613578.68642755,5867,11091,CHAGOMOKA PRY,Masvingo,Primary,Mwenezi,P3,-21.57085,31.18548
230838.295249183,7624414.9317697,5868,11092,BUDIRIRO,Masvingo,Primary,Mwenezi,P3,-21.46265,30.4027
229451.58907775,7608755.29740376,5869,11093,BUBI PRIMARY,Masvingo,Primary,Mwenezi,P3,-21.60378,30.3868
280639.848151896,7671448.19569043,5870,11094,BEMBERERO,Masvingo,Primary,Mwenezi,P3,-21.04475,30.88905
271047.34372481,7651013.38361892,5871,11095,GURAMATUNHU,Masvingo,Primary,Mwenezi,P3,-21.22808,30.79406
264659.291041145,7649292.61149812,5872,11096,G AND N,Masvingo,Primary,Mwenezi,P3,-21.2428,30.73231
179465.02473815,7660334.57482777,5873,11097,GANDAHARI,Masvingo,Primary,Mwenezi,P3,-21.13015,29.91425
238923.064095163,7603552.81414037,5874,11098,FURUMELE,Masvingo,Primary,Mwenezi,P3,-21.65215,30.4774
298468.863065313,7666029.19602402,5875,11099,FARAI,Masvingo,Primary,Mwenezi,P3,-21.09573,31.05991
175990.413930825,7671284.0528888,5876,11100,DOMBODEMA,Masvingo,Primary,Mwenezi,P3,-21.03075,29.8829
264824.785435208,7673684.64583626,5877,11101,VIRI - VIRI,Masvingo,Primary,Mwenezi,P3,-21.0226,30.73725
310060.026861781,7582863.15610028,5878,11102,DEMBE PRIMARY,Masvingo,Primary,Mwenezi,P3,-21.848,31.16205
236288.17539885,7694110.07553244,5879,11103,CHOVURONGA ,Masvingo,Primary,Mwenezi,P3,-20.83435,30.46598
181282.241515736,7674567.51747708,5880,11104,CHOVERERE ,Masvingo,Primary,Mwenezi,P3,-21.00205,29.93436
234979.980825571,7660771.52654225,5881,11105,CHIWARURE ,Masvingo,Primary,Mwenezi,P3,-21.1351,30.44831
308309.705123971,7617400.80287746,5882,11106,CHISUME ,Masvingo,Primary,Mwenezi,P3,-21.53593,31.14911
209818.558901449,7670090.08394453,5883,11107,CHIUMBURU,Masvingo,Primary,Mwenezi,P3,-21.04718,30.20783
308561.413003454,7601034.38771312,5884,11108,MATEKE,Masvingo,Primary,Mwenezi,P3,-21.68375,31.14966
,,5885,11109,BWANYA,Masvingo,Secondary,Chivi,S3,,0
244003.450012724,7708379.79240597,5886,11110,CHISHAVAKADZI SEC,Masvingo,Secondary,Chivi,S3,-20.70661,30.54215
,,5887,11111,BATANAI (KHOMANANI) ,Masvingo,Primary,Mwenezi,P3,,0
224856.024551076,7743699.00382618,5888,11112,DOMBOSHAVA,Masvingo,Secondary,Chivi,S3,-20.38508,30.36393
,,5889,11113,TOKWE MUKORSI,Masvingo,Primary,Mwenezi,P3,,0
244651.528139395,7789739.27808871,5890,11114,ZVAMAHANDE,Masvingo,Primary,Masvingo,P3,-19.97218,30.55993
,,5891,11115,MASANGULA,Masvingo,Secondary,Mwenezi,S3,,0
,,5892,11116,MLALI,Masvingo,Secondary,Mwenezi,S3,,0
,,5893,11117,MAKOVE,Masvingo,Secondary,Masvingo,S3,,0
,,5894,11118,SHINGIRIRAI COLLEGE DONBOSCO STUDY GROUP ,Masvingo,Secondary,Masvingo,S2,,0
,,5895,11120,RUTENDO,Masvingo,Secondary,Mwenezi,S3,,0
367755.520919154,7729022.72119948,5896,11121,CHOMUKONDE,Masvingo,Primary,Bikita,P3,-20.53299,31.73153
,,5897,11122,BATANAI  SATELLITE SEC SC,Masvingo,Secondary,Chivi,S3,,0
293586.707469058,7736911.17751594,5898,11123,CHEVANHU,Masvingo,Secondary,Masvingo,S3,-20.45509,31.02129
259198.391412818,7790646.0189101,5899,11124,CHIDZIKWE,Masvingo,Secondary,Masvingo,S3,-19.96585,30.69897
303210.963647866,7765496.3247648,5900,11125,CHIKWANDA ,Masvingo,Secondary,Masvingo,S3,-20.19795,31.11664
293489.565311515,7707432.61806101,5901,11126,CHIWAWA SDA ,Masvingo,Secondary,Masvingo,S3,-20.72129,31.01692
299876.161104425,7699701.92191141,5902,11127,MAKOTORE,Masvingo,Secondary,Masvingo,S3,-20.7918,31.07734
